date,open,high,low,close,vol,amount,change%,turnover%,change,amplitude%
2026-05-11,68.75,110.28,68.75,91.84,297009,2352582931.0,562.63,82.7,77.98,
2026-05-12,80.0,99.0,76.06,88.92,261928,2205156580.0,-3.18,72.94,-2.92,
2026-05-13,83.0,85.85,78.01,80.88,176352,1436966359.0,-9.04,49.11,-8.04,
2026-05-14,78.02,82.5,72.88,72.94,144188,1108773971.0,-9.82,40.15,-7.94,
2026-05-15,68.8,78.0,64.6,76.8,187396,1319677496.0,5.29,52.18,3.86,
2026-05-18,72.83,75.6,69.15,73.31,113758,824696350.0,-4.54,31.68,-3.49,
2026-05-19,73.0,77.3,70.4,71.84,95638,708657406.0,-2.01,26.63,-1.47,
2026-05-20,69.16,75.8,67.0,73.8,113439,813997767.0,2.73,31.59,1.96,
2026-05-21,72.5,74.49,66.42,66.49,97537,688165723.0,-9.91,27.16,-7.31,
2026-05-22,65.3,66.66,62.7,63.23,79311,505792187.0,-4.9,22.08,-3.26,
2026-05-25,62.5,62.5,59.2,60.37,70678,427585132.0,-4.52,19.68,-2.86,
2026-05-26,60.9,60.9,56.55,59.05,54854,319852281.0,-2.19,15.27,-1.32,
2026-05-27,58.17,61.14,57.5,58.79,47226,279933607.0,-0.44,13.15,-0.26,
2026-05-28,59.24,59.7,56.68,58.01,44064,256791737.0,-1.33,12.27,-0.78,
2026-05-29,58.9,59.0,53.81,54.2,52191,288911611.0,-6.57,14.53,-3.81,
