代码,名称,综合评分,长线评分,短线评分,风格,置信度,评级,基本面分,动量分,技术分,量能分,风险分,最新价,涨跌幅,ROE,营收增长,毛利率,夏普比率,最大回撤,VaR,信号,净得分,板块,长线依据,长线综合
300408,三环集团,79.0,77.2,68.5,短线+长线,高,Buy,75,100.0,66.5,85.0,64.0,115.0,16.79,3.53,0.4625,0.4349,1.87,-22.51,N/A,N/A,0,元件,ROE3.5%，盈利能力一般；夏普比率1.87，风险调整收益较好；历史最大回撤22.5%；股价在MA60(67.97)上方，长期趋势向上；ATR占比5.6%，波动率较高,74.66
002297,博云新材,70.8,79.2,60.9,短线+长线,高,Buy,90,82.8,56.5,65.0,56.0,26.58,7.57,5.86,1.2594,0.4874,1.93,-28.33,N/A,N/A,0,其他,ROE5.9%，盈利能力一般；夏普比率1.93，风险调整收益较好；历史最大回撤28.3%；股价在MA60(16.33)上方，长期趋势向上；ATR占比8.5%，波动率较高,74.2
001389,广合科技,71.8,75.5,59.3,长线,高,Buy,85,82.5,56.5,70.0,64.0,195.01,9.01,5.45,0.7134999999999999,0.3693,2.03,-36.3,N/A,N/A,0,其他,ROE5.5%，盈利能力一般；夏普比率2.03，风险调整收益较好；历史最大回撤36.3%；股价在MA60(138.45)上方，长期趋势向上；ATR占比5.8%，波动率较高,73.99
002463,沪电股份,71.8,75.5,56.0,长线,高,Buy,85,78.2,56.5,77.5,64.0,114.07,10.0,7.4,0.5390999999999999,0.3563,1.54,-45.28,N/A,N/A,-2,其他,ROE7.4%，盈利能力一般；夏普比率1.54，风险调整收益较好；历史最大回撤45.3%；股价在MA60(90.50)上方，长期趋势向上；ATR占比5.3%，波动率较高,73.99
002916,深南电路,77.5,69.5,65.5,短线+长线,中,Buy,70,95.5,78.0,70.0,64.0,378.27,10.0,4.7,0.379,0.2917,1.7,-47.52,N/A,N/A,5,印制电路板,ROE4.7%，盈利能力一般；夏普比率1.70，风险调整收益较好；历史最大回撤47.5%；股价在MA60(278.92)上方，长期趋势向上；ATR占比5.6%，波动率较高,70.89999999999999
300201,海伦哲,76.9,69.5,66.0,短线+长线,中,Buy,70,100.0,66.5,77.5,64.0,18.34,12.1,2.28,0.5047999999999999,0.3053,1.94,-30.42,N/A,N/A,-2,其他,ROE2.3%，盈利能力一般；夏普比率1.94，风险调整收益较好；历史最大回撤30.4%；股价在MA60(11.73)上方，长期趋势向上；ATR占比5.8%，波动率较高,70.72
300199,翰宇药业,71.7,70.0,59.7,长线,中,Buy,75,68.6,73.5,77.5,64.0,24.55,7.91,17.24,-3.49,0.649,1.14,-45.38,N/A,N/A,4,其他,ROE17.2%，盈利能力优秀；夏普比率1.14，风险调整收益较好；历史最大回撤45.4%；股价在MA60(20.01)上方，长期趋势向上；ATR占比5.3%，波动率较高,70.31
300037,新宙邦,71.2,73.8,71.7,短线+长线,中,Buy,70,79.3,69.0,70.0,64.0,72.92,9.6,4.28,0.6785,0.24280000000000002,1.02,-38.02,N/A,N/A,13,其他,ROE4.3%，盈利能力一般；夏普比率1.02，风险调整收益较好；历史最大回撤38.0%；股价在MA60(60.88)上方，长期趋势向上,70.3
003004,声迅股份,74.7,69.5,66.0,短线+长线,中,Buy,70,100.0,53.5,85.0,64.0,49.8,0.32,-0.48,1.2651000000000001,0.2163,1.25,-44.97,N/A,N/A,-2,其他,ROE-0.5%，盈利能力一般；夏普比率1.25，风险调整收益较好；历史最大回撤45.0%；股价在MA60(32.53)上方，长期趋势向上；ATR占比5.2%，波动率较高,70.06
002859,洁美科技,74.6,71.2,65.5,短线+长线,中,Buy,65,95.5,70.5,70.0,64.0,60.05,10.0,1.5,0.22519999999999998,0.3259,1.74,-26.23,N/A,N/A,1,其他,ROE1.5%，盈利能力一般；夏普比率1.74，风险调整收益较好；历史最大回撤26.2%；股价在MA60(44.79)上方，长期趋势向上；ATR占比5.6%，波动率较高,69.53999999999999
