代码,名称,综合评分,动量分,技术分,基本面分,量能分,风险分,板块,已持仓
002645,华宏科技,78.3,96.5,85.0,80.0,65.0,64.0,其他,False
600186,莲花控股,77.2,100.0,81.0,80.0,65.0,56.0,其他,False
603256,宏和科技,76.5,100.0,70.0,90.0,65.0,56.0,玻纤制造,False
002859,洁美科技,74.3,100.0,66.5,65.0,85.0,64.0,其他,False
605376,博迁新材,74.3,100.0,66.5,70.0,77.5,64.0,其他,False
002693,双成药业,74.1,83.5,70.5,80.0,85.0,64.0,其他,False
603203,快克智能,73.6,92.0,70.5,90.0,55.0,56.0,其他,True
002407,多氟多,73.5,97.1,73.5,70.0,70.0,56.0,氟化工,False
002916,深南电路,73.3,99.1,66.5,70.0,70.0,64.0,印制电路板,False
600183,生益科技,72.7,97.8,53.5,85.0,70.0,64.0,其他,False
603629,利通电子,72.5,95.7,53.5,95.0,65.0,56.0,其他,False
003004,声迅股份,72.1,100.0,53.5,70.0,85.0,64.0,其他,False
002156,通富微电,71.6,100.0,70.5,60.0,70.0,56.0,其他,False
603890,春秋电子,71.4,91.7,66.5,65.0,77.5,64.0,其他,False
603986,兆易创新,71.4,100.0,53.5,90.0,55.0,56.0,其他,False
000518,四环生物,71.2,100.0,53.5,60.0,85.0,72.0,其他,False
002741,光华科技,70.4,91.0,66.5,65.0,70.0,64.0,其他,False
002947,恒铭达,70.2,93.2,78.0,60.0,47.5,64.0,其他,False
001266,宏英智能,70.0,93.6,66.5,65.0,70.0,56.0,其他,False
002552,宝鼎科技,69.9,100.0,66.5,70.0,47.5,56.0,其他,False
001389,广合科技,69.7,82.5,56.5,85.0,70.0,64.0,其他,False
002975,博杰股份,69.7,91.4,66.5,75.0,55.0,56.0,其他,False
002463,沪电股份,69.6,78.2,56.5,85.0,77.5,64.0,其他,False
601208,东材科技,69.6,98.1,66.5,60.0,65.0,56.0,其他,False
603083,剑桥科技,69.3,86.8,68.5,70.0,65.0,56.0,其他,False
002421,达实智能,69.3,100.0,53.5,60.0,85.0,56.0,其他,False
603005,晶方科技,69.2,94.3,62.5,55.0,77.5,64.0,元件、被动元件、激光设备,False
002297,博云新材,69.2,82.8,56.5,90.0,65.0,56.0,其他,False
603115,海星股份,69.1,100.0,52.5,65.0,77.5,56.0,其他,False
605006,山东玻纤,69.0,92.3,66.0,65.0,77.5,44.0,其他,False
600520,三佳科技,68.8,68.9,85.0,70.0,55.0,64.0,其他,False
002080,中材科技,68.6,94.1,62.5,65.0,65.0,56.0,玻纤制造,False
600936,北投科技,68.5,95.3,66.5,50.0,77.5,56.0,其他,False
001339,智微智能,68.4,91.8,60.5,70.0,55.0,64.0,其他,False
000725,京东方Ａ,68.4,86.7,62.5,50.0,85.0,72.0,其他,False
